"channels_kind", "youtube#channel"
"channels_channels_etag", "etag"
"channels_id", "string"
"channels_snippet_title", "string"
"channels_snippet_description", "string"
"channels_snippet_customUrl", "string"
"channels_snippet_publishedAt", "datetime"
"channels_snippet_defaultLanguage", "string"
"channels_snippet_localized_title", "string"
"channels_snippet_localized_description", "string"
"channels_snippet_country", "string"
"channels_contentDetails_relatedPlaylists_likes", "string"
"channels_contentDetails_relatedPlaylists_favorites", "string"
"channels_contentDetails_relatedPlaylists_uploads", "string"
"channels_contentDetails_relatedPlaylists_watchHistory", "string"
"channels_contentDetails_relatedPlaylists_watchLater", "string"
"channels_statistics_viewCount", "unsigned long"
"channels_statistics_commentCount", "unsigned long"
"channels_statistics_subscriberCount", "unsigned long"
"channels_statistics_hiddenSubscriberCount", "boolean"
"channels_statistics_videoCount", "unsigned long"
"channels_topicDetails_topicIds", "[string]"
"channels_topicDetails_topicCategories", "[string]"
"channels_status_privacyStatus", "string"
"channels_status_isLinked", "boolean"
"channels_status_longUploadsStatus", "string"
"channels_brandingSettings_channel_title", "string"
"channels_brandingSettings_channel_description", "string"
"channels_brandingSettings_channel_keywords", "string"
"channels_brandingSettings_channel_moderateComments", "boolean"
"channels_brandingSettings_channel_showRelatedChannels", "boolean"
"channels_brandingSettings_channel_showBrowseView", "boolean"
"channels_brandingSettings_channel_featuredChannelsTitle", "string"
"channels_brandingSettings_channel_unsubscribedTrailer", "string"
"channels_brandingSettings_channel_profileColor", "string"
"channels_brandingSettings_channel_defaultLanguage", "string"
"channels_brandingSettings_channel_country", "string"
"channels_contentOwnerDetails_contentOwner", "string"
"channels_contentOwnerDetails_timeLinked", "datetime"
"channels_localizations_key_title", "string"
"channels_localizations_key_description", "string"