"Nom de la donnée",         "Format",           "Longueur", "Type"
"Comments_kind",            "youtube#comment",  "16",       "E"
"Comments_etag",            "string",             "41",       "E"
"Comments_id",              "AN",           "30",       "E"
"Comments_snippet_authorDisplayName", "AN", "30",       "E"
"Comments_snippet_authorProfileImageUrl", "AN","60",    "E"
"Comments_snippet_authorChannelUrl", "AN",  "60",       "E"
"Comments_authorChannelId_value", "AN",     "30",       "E"
"Comments_snippet_channelId", "AN",         "30",       "E"
"Comments_snippet_videoId", "AN",           "30",       "E"
"Comments_snippet_textDisplay", "AN",       "30",       "E"
"Comments_snippet_textOriginal", "AN",      "30",       "E"
"Comments_snippet_parentId", "AN",          "30",       "E"
"Comments_snippet_canRate", "boolean",          ,       "E"
"Comments_snippet_viewerRating", "AN",      "20",       "E"
"Comments_snippet_likeCount", "NUMERIQUE",  "12",       "E"
"Comments_snippet_moderationStatus", "AN",  "25",       "E"
"Comments_snippet_publishedAt", "date",         ,       "E"
"Comments_snippet_updatedAt", "date",           ,       "E"