"Nom de la donnée",         "Format",                   "Longueur", "Type"
"commentthread_kind", "youtube#commentThread",          "22",       "E"
"commentthread_etag", "etag",                           "41",       "E"
"commentthread_id", "AN",                               "30",       "E"
"commentthread_snippet_channelId", "AN",                "30",       "E"     
"commentthread_snippet_videoId", "AN",                  "30",       "E"
"commentthread_snippet_topLevelComment", "comments Resource",,      "E"
"commentthread_snippet_canReply", "boolean",                ,       "E"
"commentthread_snippet_totalReplyCount", "NUMERIQUE",   "12",       "E"
"commentthread_snippet_isPublic", "boolean",                ,       "E"
"commentthread_replies_comments", "[comments Resource]",    ,       "E"